df_cc_id,efx_total_income360,efx_non_salary_income360,spd_sd_age,exp_fin_debt_to_income_ratio,spd_change_in_income_12mo,spd_investor_sd_plus_v5_savings,spd_mortgage_amount,spd_home_to_income_ratio,spd_spendex_education_v3,spd_charity_sd_highdollar_v2,exp_financial_corporate_credit_card_user,exp_financial_credit_card_user,exp_financial_major_credit_card_user,exp_financial_store_credit_card_user,exp_financial_premium_credit_card_user,spd_bc_1st_contact_email,spd_bc_content_infographic,spd_bc_content_video,spd_channel_sd_banner_scale,spd_channel_sd_intertv_scale,spd_scr_email_dynabase,spd_bc_loc_hbb_office,spd_bc_prof_manager,spd_bc_prof_staff,spd_jobs_sd_blue_collar,spd_jobs_sd_middle_mgmt,spd_jobs_sd_retired,spd_jobs_sd_student,spd_sd_employment,spd_bc_purchase_price,spd_bc_purchase_quality,spd_generations_in_hh,spd_sd_lor_v2,spd_purch_prod_comp_quality,spd_purch_social_awareness,spd_young_kids,spd_elementry_school_kids,spd_parent_of_a_teenager,propensity_spend_on_digital_media_flag,propensity_spend_online_commerce_flag,propensity_spend_instore_commerce_flag,propensity_spend_on_online_payment_flag,spd_change_in_home_value_12_mo,spd_ratio_home_value_12mo_to_income,spd_investments_v2,spd_children_prod_back_school_v2,spd_presence_of_children_v2,spd_young_adult_in_hh_v2,exp_investment_property_add_investment_flag,spd_marital_v2_single,spd_marital_v2_married,spd_marital_v2_divorced,spd_sd_education_v2,exp_fin_seg_credit_card_paydowns,exp_fin_seg_credit_card_surfers,urbanicity,spd_cc_bankcard,spd_cc_travel,spd_ethnic_sd_v2_hispanic,spd_bc_contact_orient_v2_phone,spd_bc_contact_orient_v2_in_person,spd_bc_contact_orient_v2_email,exp_invest_active_investor,exp_invest_investor_mid_value,wealth_tier_id
4.54143E+18,29580,394,25,1,2,5,0,409,1095,2,38,22,41,49,22,2,7,7,5,6,22,4,4,6,3,2,2,2,6,7,3,2,5,2,6,0,0,1,0.5,2.966666667,5.153846154,4,0,0,0,0,1,1,0,1,0,0,2,5,3,3,0,0,0,0,0,0,6,9,1
1.08361E+18,26773,6466,26,3,6,5,0,260,936,3,85,88,90,79,87,2,5,6,5,5,39,2,5,6,2,2,2,4,7,5,3,2.146120916,4,1,6,0,0,0,1.5,3.366666667,6.230769231,7,14,13,1,0,1,1,0,0,1,0,2,0,0,3,0,0,0,0,0,0,1,2,1
2.4881E+18,110004,24749,26,8,5,6,0,552.5538746,238,1,48,34,34,38,54,3,5,7,4,3,49,2,5,7,2,2,2,4,7,3,4,2.146120916,0,5,7,0,0,0,1,1.433333333,4.384615385,8,19.42174743,20.12384979,1,0,0,1,0,1,0,0,2,2,1,2,0,0,0,0,0,0,8,10,1
3.73161E+18,33457,3969,26,9,2,33,0,422,506,2,80,90,90,90,89,3,6,5,5,6,33,2,2,6,3,2,3,6,5,4,2,2.146120916,18,2,6,1,0,0,4,5.533333333,5.153846154,7.5,21,29,0,0,1,1,1,0,1,0,3,4,0,3,0,0,0,0,0,0,1,2,1
5.92444E+18,130614,29471,26,4,7,76,0,459,2915,2,86,65,51,41,60,1,6,5,7,6,26,4,3,7,2,2,2,6,7,7,5,2,11,3,7,0,0,0,1.5,1.633333333,3,7.5,25,18,1,0,1,1,0,1,0,0,2,4,4,1,1,0,1,0,0,0,6,6,1
2.44889E+18,62029,19910,26,6,5,51,122,413,721,4,78,88,94,82,94,2,6,5,6,6,29,4,3,5,2,2,2,5,5,7,5,2.146120916,3,3,6,0,0,0,0,1.366666667,3.692307692,6.5,-9,-10,1,0,1,0,0,0,1,0,3,4,0,2,0,0,0,0,0,0,3,3,1
5.48424E+18,55768,11501,26,4,5,5,0,437,465,1,65.65276963,45.36209494,44.88521373,48.32513768,44.96361096,1,6,6,5,3,34,4,4,6,2,2,2,4,7,1,2,1,0,4,7,0,0,0,0.5,2.733333333,6.230769231,5.5,17,26,1,0,1,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,6,6.372005492,1
1.44868E+18,83324,17742,26,9,4,5,0,457,540,1,97,71,70,82,65,2,7,7,7,6,23,4,1,6,2,2,2,4,6,6,3,1,7,5,7,0,0,0,0,0,0,5.5,9,13,0,1,1,1,0,1,0,0,1,0,2,1,0,0,1,0,0,0,1,2,1
7.97426E+18,194833,41161,26,6,2,6,0,425,1149,2,96,95,89,86,92,1,7,6,6,6,29,4,2,5,2,2,2,6,6,1,7,2.146120916,9,1,5,0,0,0,0,2.966666667,5.423076923,7.5,6,9,1,0,1,1,0,1,0,0,1,3,0,3,0,0,0,0,0,0,3,2,1
8.26306E+18,113011,13549,27,4,3,5,0,264,492,2,77,46,52,50,38,0,0,0,5,5,50,0,0,0,1,1,1,1,5,0,0,3,8,5,6,0,0,1,3.5,2.8,2.153846154,5.5,3,7,1,0,1,1,0,1,0,0,4,3,3,2,0,0,0,0,0,0,3,8,1
1.84579E+16,125103,24064,27,7,4,86,152,424,1807,4,36,33,63,33,24,6,4,3,4,5,37,7,4,4,3,4,2,6,4,2,6,2,22,2,7,0,0,0,2.5,0.966666667,3.307692308,6.5,9,9,1,0,0,1,0,1,0,0,4,5,5,3,0,0,0,1,0,0,9,10,1
2.27313E+18,129208,19812,27,4,2,5,0,365,700,3,43,45.36209494,44.88521373,48.32513768,44.96361096,2,5,4,3,3,32,4,3,6,3,3,3,5,5,4,2,1,26,4,6,0,0,1,2.5,2.566666667,5.423076923,6,10,19,1,0,1,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,6,6.372005492,1
4.44062E+18,98842,21024,27,5,5,91,0,423,1270,3,65.65276963,55,60,55,55,1,6,4,3,4,44,4,3,4,1,1,1,7,4,7,4,2,17,3,5,0,1,0,0,1.766666667,2.423076923,5.5,24,17,1,0,0,1,0,1,0,0,2,0,0,3,0,0,0,1,0,0,5,5,1
4.86003E+18,99330,19927,27,8,8,89,271,456,1577,3,99,82,89,95,88,2,6,6,6,6,32,6,6,7,1,1,1,1,7,5,3,2,11,3,7,0,0,0,2.5,2,2.961538462,6.5,18,14,1,0,1,1,0,1,0,0,4,0,0,2,0,0,1,0,0,0,2,3,1
6.79086E+18,43150,9182,28,3,3,5,0,419,305,1,62,93,97,93,83,0,0,0,5,3,30,0,0,0,3,3,2,6,4,0,0,2.146120916,9,3,6,0,0,0,1.5,3.833333333,5.576923077,5.5,11,19,0,0,0,1,0,1,0,0,2,0,0,3,0,0,0,0,0,0,1,1,1
6.03033E+18,114207,19685,28,5,1,4,0,425,602,1,60,22,24,24,58,0,0,0,7,6,25,0,0,0,2,2,2,6,4,0,0,2.146120916,10,6,7,0,0,0,0,0,0,6,17,25,0,0,0,1,1,1,0,0,2,0,0,2,0,0,0,0,0,0,9,6,1
7.61673E+18,119677,16218,28,2,2,5,0,416,335,1,85,51,50,46,49,0,0,0,6,7,23,0,0,0,4,3,3,6,4,0,0,2.146120916,28,4,6,0,1,0,2,5,5.961538462,5.5,0,0,1,0,0,1,0,1,0,0,2,2,2,3,0,0,0,0,0,0,5,10,1
6.43533E+18,63455,8946,28,6,2,8,82,425,1099,2,74,63,51,6,58,6,6,6,4,4,30,5,6,6,3,2,2,4,7,6,6,2,21,1,6,0,0,1,1,2.6,1.884615385,6.5,21,31,0,0,1,1,0,1,0,0,2,4,0,2,0,0,0,0,0,0,6,7,1
7.57167E+18,123607,22025,28,2,5,27,0,414,1527,2,57,60,53,34,34,1,7,7,5,6,39,1,7,7,2,2,3,5,6,5,2,2.146120916,0,4,7,1,1,0,0,2.433333333,2.961538462,4,1,1,1,0,1,1,0,1,0,0,4,0,4,1,1,0,0,0,0,0,4,8,1
6.83364E+18,96481,18062,28,8,4,6,0,457,445,1,76,78,79,92,83,1,7,4,5,5,33,3,7,7,2,2,3,4,5,1,7,2.146120916,11,4,7,0,1,0,0,0,1.115384615,7.5,9,7,0,0,1,1,0,1,0,0,2,0,0,3,0,0,1,0,0,0,3,4,1
4.1713E+17,39490,9047,29,3,2,3,0,552.5538746,326,1,65.65276963,45.36209494,44.88521373,48.32513768,44.96361096,0,0,0,7,5,22,0,0,0,2,3,2,6,3,0,0,2.146120916,7,4,7,0,0,0,1.5,0.1,3.923076923,4,19.42174743,20.12384979,0,0,0,1,0,1,0,0,2,0,0,3,0,0,0,0,0,0,6,6.372005492,1
2.36505E+18,57216,16094,29,5,1,1,0,552.5538746,98,1,45,84,60,98,80,0,0,0,7,7,22,0,0,0,2,2,2,6,7,0,0,2.146120916,8,6,7,0,0,0,1,2.266666667,2.307692308,7,19.42174743,20.12384979,1,0,0,1,0,1,0,0,2,2,0,1,0,0,0,0,0,0,1,2,1
4.80358E+18,56092,13904,29,7,14,120,300,414,9331,4,12,14,3,31,9,2,5,2,5,1,74,2,5,5,3,5,4,6,6,6,6,2,20,4,6,0,0,0,3,3.266666667,4.269230769,5.5,85,31,1,0,1,1,0,0,1,0,3,5,5,1,1,1,0,0,0,0,10,10,1
2.31995E+17,103620,48484,29,5,4,84,0,415,2380,5,39,36,44,16,27,4,5,2,6,1,39,2,4,6,2,3,3,6,6,5,6,3,2,2,6,0,0,0,1.5,2,2.730769231,5,16,12,1,0,0,1,0,1,0,0,3,0,2,3,0,0,0,0,0,0,3,6,1
8.93683E+18,71799,9750,29,3,-1,93,0,423,1264,4,86,71,76,74,50,1,5,4,2,4,42,5,4,7,2,2,2,4,4,6,2,2,25,2,5,0,1,0,1.5,1.533333333,3.230769231,4.5,36,26,1,0,0,1,0,1,0,0,2,0,0,3,0,0,0,0,0,0,2,4,1
6.74111E+18,70269,11524,29,6,8,80,0,413,2805,5,12,14,3,31,9,4,5,2,2,2,56,2,6,6,2,3,2,6,6,5,2,2,27,4,5,0,0,0,1,1.9,2.961538462,6.5,42,27,1,0,0,1,0,0,1,0,3,5,3,2,1,0,0,0,0,0,10,10,1
8.06558E+17,74767,17550,29,7,7,82,0,493,3213,4,58,53,42,65,41,2,6,4,3,5,46,1,6,7,2,2,2,4,7,7,2,2,25,3,7,0,0,0,3.5,2.7,2.538461538,6.5,31,18,1,0,0,1,0,1,0,0,4,0,0,1,0,0,0,0,0,0,5,8,1
5.20753E+18,47823,9338,29,4,5,5,0,363,1931,2,88,73,77,67,63,6,7,5,4,3,30,1,2,7,3,2,4,6,6,3,5,2,5,6,7,0,0,0,0,4,6.153846154,5,33,33,1,0,1,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,2,4,1
7.0076E+18,64622,16385,29,9,2,5,0,433,1022,2,94,77,75,51,81,1,7,7,7,6,25,7,2,6,4,3,3,4,7,7,2,2,28,5,7,0,1,0,0.5,3.233333333,4.5,7.5,12,18,0,0,0,1,0,1,0,0,2,0,0,3,0,0,0,0,0,0,4,2,1
7.78258E+18,33494,7404,29,6,0,5,0,552.5538746,303,1,91,40,60,12,55,1,7,6,7,6,23,3,7,7,2,2,2,4,5,2,4,2.146120916,7,6,7,0,1,0,0,5.133333333,4.153846154,5.5,19.42174743,20.12384979,0,0,1,1,0,1,0,0,2,0,0,3,0,0,1,0,0,0,3,6,1
6.04637E+17,62056,15928,30,2,15,114,480,413,9817,5,3,10,3,64,10,2,3,3,3,4,104,2,7,6,2,2,2,4,7,5,5,2.146120916,9,2,5,0,0,0,3,2.733333333,2.5,4,90,31,1,0,1,1,0,0,1,0,3,5,5,2,1,0,0,0,0,0,10,10,1
3.93102E+18,71651,19044,30,6,14,5,0,421,8317,1,96,41,41,81,47,3,5,4,5,5,48,1,6,7,2,2,2,6,7,4,5,2.146120916,3,2,7,0,0,0,4,2.933333333,2.846153846,6.5,13,5,1,0,0,1,0,1,0,0,2,0,0,2,1,0,0,0,0,0,3,5,1
1.84842E+18,93551,17327,30,4,2,40,0,422,1599,4,45,20,19,29,48,3,7,2,5,5,68,4,7,4,2,3,2,4,5,6,6,2.146120916,20,5,6,0,0,0,1.5,5.433333333,5.384615385,6.5,26,25,1,0,0,1,0,1,0,0,2,1,4,3,0,0,0,1,0,0,8,9,1
6.48855E+18,113552,15595,30,7,5,15,317,457,1669,2,93,80,83,82,73,1,7,6,7,5,46,3,3,6,2,2,2,4,6,7,3,2.146120916,7,6,7,0,1,0,2,4.433333333,1.076923077,5.5,33,34,0,1,1,1,0,1,0,0,2,2,0,1,0,0,1,0,0,0,1,2,1
5.13596E+18,53150,22171,30,6,2,5,0,552.5538746,514,1,59,74,77,98,79,4,7,7,7,4,40,3,5,7,2,2,2,6,7,6,3,2.146120916,5,6,7,0,0,0,0,3.866666667,4.384615385,7,19.42174743,20.12384979,1,0,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,1,1
2.28875E+17,110826,21345,30,5,0,5,0,441,843,1,40,61,32,4,69,1,7,7,6,7,32,7,2,7,2,3,2,4,5,7,1,2,11,6,7,0,1,1,1.5,1.966666667,3.192307692,6.5,9,18,0,0,1,1,0,1,0,0,2,0,0,3,0,0,0,0,0,0,4,5,1
6.86449E+18,53535,3586,31,3,1,0,0,552.5538746,197,1,96,70,73,44,71,0,0,0,7,7,31,0,0,0,2,2,2,5,7,0,0,2.146120916,18,6,7,0,0,0,1,2.333333333,2.461538462,7,19.42174743,20.12384979,0,1,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,4,4,1
5.11666E+18,23940,4652,31,9,1,0,0,434,265,1,55,94,98,90,86,0,0,0,6,7,25,0,0,0,2,2,3,5,4,0,0,2.146120916,19,7,7,0,0,0,0,0,0,6.5,9,28,0,1,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,2,1,1
8.22541E+18,86725,23025,31,5,9,120,759,422,9662,5,44,31,52,82,25,3,3,4,5,4,103,1,7,6,2,2,2,4,7,5,4,2.146120916,10,1,6,1,1,0,0,2.566666667,2.769230769,6,-10,-3,1,1,1,1,0,0,1,0,3,0,0,2,1,1,0,1,0,0,4,5,1
9.20836E+18,67536,12151,31,2,7,89,0,420,3232,7,48,26,37,46,16,3,3,3,3,2,74,2,6,7,3,5,2,6,5,4,2,3,27,1,4,0,1,0,1.5,1.4,5.807692308,4.5,34,20,1,0,1,0,0,1,0,0,3,0,4,3,0,0,0,1,0,0,4,9,1
1.01379E+18,55293,11155,31,4,3,5,0,420,471,3,94,68,71,49,77,1,4,4,4,2,39,5,5,7,2,2,4,4,7,4,7,3,5,1,6,0,0,0,0,5.866666667,6.846153846,6,15,20,1,0,1,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,3,3,1
2.91009E+18,53707,6489,31,1,2,5,450,258,168,2,9,4,15,1,10,3,7,6,5,5,60,3,7,6,2,2,2,4,7,4,3,2.146120916,2,4,6,0,0,0,0,3.066666667,4.269230769,5.5,0,0,1,1,1,0,0,0,1,0,2,0,5,2,0,0,0,0,0,0,9,9,1
4.57236E+18,94660,16262,32,5,1,5,0,444,479,4,99,72,74,54,77,0,0,0,4,5,21,0,0,0,3,3,5,6,4,0,0,2,22,6,6,0,1,0,0,2.333333333,3.192307692,6,7,18,0,1,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,4,3,1
8.75553E+18,57886,8779,32,4,1,5,0,423,1398,2,97,88,85,60,88,6,6,7,4,6,33,4,7,7,2,2,4,5,6,6,4,2.146120916,4,6,7,1,0,0,4.5,0.3,3.038461538,6,24,30,0,1,1,1,0,1,0,0,2,0,0,2,0,0,1,0,0,0,2,1,1
1.95125E+18,57934,4510,32,2,7,5,194,416,1845,3,93,50,51,83,47,4,7,6,7,6,44,1,6,7,2,2,3,4,7,7,2,2.146120916,4,5,7,0,0,0,1,2.5,2.692307692,6,8,8,1,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,4,6,1
4.70467E+17,62766,11816,33,6,1,5,0,423,509,2,95,70,71,8,75,0,0,0,7,6,25,0,0,0,5,3,4,6,4,0,0,2,5,3,6,0,1,0,2.5,6.633333333,7.730769231,6.5,8,20,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,4,4,1
2.90312E+18,82250,13740,33,8,4,105,104,395,1096,5,30,2,1,12,5,4,3,3,3,2,66,1,7,4,3,4,5,6,7,4,5,3,31,2,5,0,1,0,3.5,4.1,2.884615385,5.5,30,25,1,0,1,0,0,1,0,0,4,4,3,2,1,0,0,0,0,0,10,7,1
3.14091E+18,32012,7893,33,3,2,47,0,422,1043,4,99,75,65,13,62,4,5,6,6,6,50,5,5,5,2,2,3,4,7,5,5,2.146120916,4,1,3,0,0,0,5,3.066666667,3.076923077,7,12,13,1,1,1,0,0,1,0,0,3,0,0,3,0,0,0,0,1,0,4,4,1
7.10478E+18,49353,12393,33,6,2,8,0,413,966,6,51,55,40,34,56,3,5,3,4,6,33,6,4,3,1,7,1,1,4,7,7,2,33,1,5,0,1,0,2,4.166666667,1.769230769,5.5,22,27,1,0,1,0,0,1,0,0,2,2,1,3,0,0,0,0,1,0,6,8,1
3.68758E+18,65598,13963,33,3,2,5,172,422,936,3,99,43,47,37,41,5,7,3,5,6,31,3,5,4,1,1,1,1,6,6,3,2.146120916,4,4,5,0,1,0,2,0.633333333,1.115384615,5.5,21,28,1,1,1,0,0,1,0,0,2,1,0,2,0,0,0,0,0,0,6,9,1
8.45479E+18,72446,8031,33,5,3,5,115,425,212,6,40,50,20,62,79,4,7,7,2,6,38,4,4,4,3,3,5,6,5,5,3,2,21,4,6,0,0,0,1.5,3.6,4.269230769,6,3,4,1,1,1,0,0,1,0,0,2,0,2,2,0,0,0,1,0,0,5,6,1
7.59113E+16,32623,8547,34,9,3,5,0,427,504,3,77,80,78,64,83,0,0,0,4,4,48,0,0,0,2,3,2,3,5,0,0,3,34,1,3,0,0,0,0.5,5.2,4.653846154,6.5,16,25,1,0,1,0,0,1,0,0,2,2,2,3,0,0,0,0,0,0,6,6,1
5.80928E+18,68289,14372,34,1,6,90,0,415,2816,5,90,39,58,70,43,6,4,3,5,2,86,2,4,4,3,4,2,5,5,4,1,3,28,3,5,0,0,0,1.5,4.266666667,3.269230769,3.5,23,12,1,0,1,0,0,1,0,0,3,3,2,2,0,0,0,1,0,0,3,7,1
5.90283E+18,68716,12512,34,1,2,5,0,420,334,5,97,61,65,50,64,1,4,3,4,2,46,5,4,4,1,1,1,1,3,3,5,2,34,3,2,0,0,0,2.5,5.833333333,6.115384615,6,8,16,1,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,1,0,3,4,1
4.17642E+17,115964,15771,34,6,2,5,235,423,1011,5,42,29,40,17,26,5,5,4,4,5,45,4,7,4,7,1,1,1,7,2,4,1,9,1,3,0,1,0,7,5.5,3,6.5,23,27,1,1,1,0,0,0,1,0,2,5,0,3,0,0,0,0,0,0,9,10,1
8.88367E+18,74487,14280,34,4,1,68,197,416,960,5,90,79,85,72,86,2,6,4,4,7,28,4,4,5,2,3,2,6,6,7,4,3,2,4,4,0,1,0,3.5,3.266666667,4.461538462,6.5,17,27,1,1,1,1,0,0,1,0,4,0,0,3,0,0,0,0,0,0,1,3,1
8.30007E+18,103530,13714,34,6,1,5,0,426,701,2,83,91,85,85,92,1,6,5,4,7,23,7,2,4,4,2,5,6,4,2,1,3,12,2,6,0,1,0,2,2.7,0,6,12,26,0,1,1,0,0,1,0,0,2,3,0,3,0,0,0,0,0,0,3,4,1
2.81797E+18,81784,15598,34,6,4,6,0,456,981,2,65.65276963,45.36209494,44.88521373,48.32513768,44.96361096,4,6,6,4,4,36,2,3,5,3,2,4,6,5,2,2,2.146120916,22,5,7,1,1,0,2,5.733333333,4.538461538,7,19,25,0,1,1,1,0,1,0,0,3,0,0,2,0,0,1,0,1,0,6,6.372005492,1
6.9641E+18,77901,17339,34,8,1,5,0,424,738,3,57,83,90,60,87,1,6,6,3,2,39,5,7,7,1,1,1,1,5,5,5,3,34,1,3,0,0,1,0,3.133333333,4.730769231,6.5,14,31,1,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,5,4,1
1.92216E+18,83551,16750,34,5,0,6,317,421,1059,5,97,33,65,70,45,1,7,4,5,4,48,4,7,3,4,3,4,6,6,2,3,2.146120916,3,1,3,0,0,0,2,4.8,5.538461538,6,9,12,1,1,1,0,0,0,1,0,1,0,2,3,0,0,0,0,0,0,5,5,1
8.73263E+18,16422,570,35,7,1,2,0,552.5538746,101,1,57,52,69,14,55,0,0,0,7,7,31,0,0,0,2,2,2,5,5,0,0,1,0,6,7,0,0,0,3,2.366666667,1.961538462,4.5,19.42174743,20.12384979,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,4,7,1
6.94696E+18,119893,17974,35,7,3,5,154,352,131,3,39,56,75,61,73,0,0,0,4,5,49,0,0,0,2,3,3,4,5,0,0,2.146120916,12,6,4,0,0,0,2.5,1.9,2.5,4.5,-1,-3,1,1,1,0,0,0,1,0,1,0,4,2,0,0,0,0,0,0,4,3,1
1.52765E+18,45069,10881,35,9,3,89,0,422,1006,5,76,63,55,20,78,4,3,4,1,2,54,5,7,3,1,1,1,1,5,4,7,2,32,2,3,0,1,0,4.5,0.3,0,6.5,23,26,1,0,0,0,0,1,0,0,3,5,1,3,0,0,0,1,0,0,7,9,1
4.11674E+18,72063,19767,35,4,-3,6,261,422,451,4,57,19,18,25,45,3,4,5,4,6,68,5,6,4,2,2,3,6,6,3,4,2,3,3,5,0,0,0,2.5,4.966666667,5.846153846,4.5,34,43,1,0,1,0,0,1,0,0,3,0,4,3,0,0,0,0,0,0,8,6,1
6.58103E+18,48192,7079,35,3,2,89,0,415,918,6,99,72,69,77,76,4,4,4,6,6,47,3,3,4,2,2,3,5,6,4,5,2.146120916,29,2,7,0,1,0,4.5,0.3,0,6,17,20,1,1,1,1,0,0,1,0,4,0,1,3,0,0,0,0,0,0,5,6,1
5.24608E+18,70119,9135,35,1,3,5,280,437,1716,3,39,36,32,46,55,5,6,5,4,5,46,4,6,4,2,2,2,6,6,5,4,2.146120916,3,6,6,0,0,0,0,4.2,3.961538462,4.5,33,29,0,1,1,1,0,1,0,0,1,1,4,2,0,0,0,0,0,0,6,9,1
4.56062E+18,68060,12156,35,4,3,19,169,420,1740,5,68,57,51,66,75,5,6,6,3,4,75,1,7,5,2,3,3,5,7,5,1,3,10,1,6,1,1,0,3.5,5.166666667,2.615384615,4.5,4,4,1,1,1,1,0,1,0,0,4,0,4,2,0,0,0,0,0,0,4,5,1
1.37568E+17,67543,10685,35,2,4,5,0,413,1099,2,95,73,84,28,59,5,7,7,6,6,38,4,4,5,2,2,4,6,6,6,3,2.146120916,5,6,7,0,0,0,2,3.4,2.961538462,5,24,25,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,3,3,1
