df_cc_id,efx_total_income360,efx_non_salary_income360,spd_sd_age,exp_fin_debt_to_income_ratio,spd_change_in_income_12mo,spd_spendex_plus_v3,spd_home_purchase_price,spd_mortgage_amount,exp_financial_corporate_credit_card_user,exp_financial_credit_card_user,spd_bc_1st_contact_email,spd_bc_content_infographic,spd_bc_content_video,spd_channel_sd_banner_scale,spd_channel_sd_intertv_scale,spd_scr_email_dynabase,spd_bc_decision_maker,spd_bc_loc_hbb_office,spd_bc_prof_staff,spd_jobs_sd_blue_collar,spd_jobs_sd_corp_leader,spd_jobs_sd_middle_mgmt,spd_jobs_sd_retired,spd_jobs_sd_student,spd_sd_employment,spd_bc_purchase_price,spd_bc_purchase_quality,spd_generations_in_hh,spd_sd_children_in_hh_v2,spd_lt_senior_adult_in_hh_v2,spd_purch_social_awareness,spd_young_kids,spd_elementry_school_kids,spd_parent_of_a_teenager,propensity_spend_on_digital_media_flag,propensity_spend_online_commerce_flag,propensity_spend_instore_commerce_flag,propensity_spend_on_online_payment_flag,spd_investments_v2,spd_children_prod_back_school_v2,spd_presence_of_children_v2,spd_young_adult_in_hh_v2,exp_investment_property_add_investment_flag,exp_srvy_hh_lifestyl_financl_real_estate_currn,exp_srvy_hh_lifestyl_financial_real_estate__f,spd_marital_v2_single,spd_marital_v2_married,spd_marital_v2_divorced,spd_sd_education_v2,exp_fin_seg_credit_card_paydowns,exp_fin_seg_credit_card_surfers,spd_sd_homeowner_prob_v2,urbanicity,spd_cc_bankcard,spd_cc_travel,spd_ethnic_sd_v2_hispanic,spd_bc_contact_orient_v2_phone,spd_bc_contact_orient_v2_in_person,spd_bc_contact_orient_v2_email,exp_invest_active_investor,exp_invest_investor_mid_value,wealth_tier_id
3.13951E+17,459965,114290,22,9,5,21346,635,539,8,3,4,6,3,2,4,67,4,2,7,1,1,1,1,1,5,7,5,2.146120916,0,3,5,0,0,0,0,0,0,5,1,0,0,1,0,0,0,1,0,0,3,1,4,3,2,0,0,0,0,0,0,10,7,3
7.46293E+18,469357,104292,22,8,10,31037,722,359,99,47,5,5,4,1,4,54,5,4,4,1,1,1,1,7,4,6,3,2,0,1,7,0,0,1,0.5,2.766666667,2.769230769,6.5,1,0,0,1,0,0,0,1,0,0,3,5,2,3,3,0,0,0,1,0,0,7,9,3
1.14733E+17,562529,92589,22,4,4,21677,465,418,8,15,5,5,3,1,2,48,1,3,7,1,1,1,1,7,4,7,6,3,3,2,6,0,1,1,0.5,0.933333333,3.115384615,4,1,0,1,1,0,0,0,1,0,0,3,5,5,3,2,0,0,0,1,0,0,9,10,3
2.45987E+18,413420,89279,22,5,14,44705,635,508,4,3,5,4,2,3,2,68,4,1,7,1,1,1,1,7,4,6,3,2,4,2,7,0,1,1,0,1.433333333,2.153846154,4,1,1,1,1,0,0,0,0,1,0,4,5,5,3,2,0,2,0,1,0,0,10,6,3
8.88655E+18,430627,100098,22,8,13,13051,787,550,99,3,3,5,3,3,4,68,6,3,4,1,1,1,1,7,5,7,7,3,0,4,5,0,0,0,0.5,2.066666667,1.346153846,4.5,1,0,0,0,0,0,0,0,1,0,4,3,5,3,2,0,1,0,1,0,0,10,7,3
5.05388E+18,514301,176156,22,4,17,67628,510,0,65,56,4,4,1,3,2,52,4,4,4,1,1,1,1,7,4,6,6,3,1,5,6,0,0,0,0.5,1.466666667,2.153846154,6,1,0,1,1,0,0,0,0,1,0,4,3,0,3,2,1,0,0,0,0,0,8,6,3
6.75076E+18,452499,146973,22,2,15,100000,892,0,3,8,6,4,3,3,3,64,5,1,7,1,1,1,1,7,6,4,3,2,1,4,5,0,0,1,0.5,0.6,1.269230769,5,1,0,1,1,0,0,0,0,1,0,3,5,5,3,2,1,0,0,0,0,0,9,3,3
5.40206E+18,1787272,1565865,22,8,31,50067,0,0,11,19,2,4,2,4,4,39,6,2,4,1,7,1,1,1,6,4,5,3,0,3,6,0,0,0,0,2.5,2.846153846,5.5,1,0,0,1,0,0,0,1,0,0,4,0,5,4,2,0,0,0,0,1,0,9,7,3
8.67246E+17,1445005,1181103,23,4,82,100000,1770,1225,99,4,5,4,3,2,3,79,6,3,6,1,1,1,1,7,5,6,6,1,1,4,7,0,0,0,0,2.8,2.615384615,4,1,0,1,1,0,0,0,1,0,0,4,5,5,3,2,1,0,0,1,0,0,10,8,3
8.54471E+18,411129,145951,23,2,20,92605,843,675,3,8,7,5,3,4,4,53,6,2,4,1,1,1,1,7,5,5,7,2.146120916,1,1,7,0,0,0,0.5,1.566666667,2.076923077,3.5,1,0,1,1,0,0,0,1,0,0,4,2,5,3,2,1,0,0,0,0,1,8,3,3
3.7498E+18,601785,272288,23,3,9,79335,0,0,11,4,6,5,2,4,2,55,4,1,7,1,1,1,1,7,5,5,5,2,2,4,6,0,0,1,0.5,1.466666667,2.384615385,6,1,0,1,1,0,0,0,1,0,0,3,4,5,4,2,1,0,0,0,0,0,10,8,3
8.72043E+18,714005,291142,23,1,11,74687,933,650,13,2,7,5,2,3,5,55,2,5,4,1,1,1,1,7,5,4,4,2,1,6,7,0,0,0,1.5,1.166666667,2.076923077,4,1,0,1,1,0,0,0,0,1,0,4,2,5,3,2,1,0,0,0,0,1,10,6,3
1.55892E+18,861468,400805,23,2,13,100000,725,580,14,1,4,4,2,2,2,53,7,3,6,1,1,1,1,7,7,2,7,2,1,5,5,0,0,0,1,1.333333333,2,4.5,1,0,1,1,0,0,0,0,1,0,2,5,5,3,2,1,0,0,0,0,0,10,10,3
1.49845E+18,485172,216524,23,6,23,100000,1845,1000,3,2,4,4,2,5,2,72,5,3,7,1,1,1,1,7,5,2,3,2,0,5,7,0,0,1,0,1.633333333,2.884615385,3.5,1,0,0,1,0,0,0,1,0,0,4,4,5,3,2,0,0,0,0,0,0,10,7,3
8.52026E+18,525467,182677,23,5,9,57390,422,275,48,21,1,6,4,2,2,53,6,2,4,1,1,1,1,1,5,5,7,1,0,4,4,0,0,0,0.5,1.066666667,2,5,1,0,0,1,0,0,0,1,0,0,2,5,2,3,2,1,0,0,0,0,0,10,8,3
4.04834E+18,960868,664400,23,9,36,86007,776,200,3,2,4,4,4,5,4,67,6,1,6,1,1,1,1,7,6,6,6,2.146120916,1,1,5,1,0,0,0,1.533333333,2.076923077,5,1,0,1,1,0,0,0,0,1,0,3,2,5,3,2,1,0,0,0,0,0,10,7,3
7.79652E+18,1575132,1125660,23,6,103,100000,500,400,3,3,2,5,2,1,1,65,6,4,4,1,1,1,1,7,5,4,4,2,0,6,4,0,0,0,1,1.7,2.884615385,4.5,1,0,0,0,0,0,0,1,0,0,2,4,5,3,2,1,0,0,0,0,0,10,9,3
9.10561E+18,2000000,1793956,23,7,37,15889,350,0,99,2,5,4,2,2,2,66,6,1,7,1,1,1,1,7,5,6,6,1,0,5,6,1,0,0,0.5,1.533333333,2.115384615,5.5,1,0,0,1,0,0,0,1,0,0,2,5,2,3,2,1,0,0,0,0,1,10,6,3
2.96575E+18,607242,243040,23,6,4,28359,336,0,34,27,5,6,3,1,1,62,2,6,3,1,1,1,1,7,5,4,1,2,0,6,5,0,0,1,1.5,1.766666667,1.730769231,7.5,1,0,0,1,0,0,0,1,0,0,2,0,2,3,2,0,0,0,0,0,1,7,9,3
2.88908E+18,767225,172765,23,6,11,62044,633,507,31,27,6,4,2,5,2,67,6,1,7,1,1,1,1,7,5,6,1,1,1,1,6,0,0,1,0.5,1.566666667,2.076923077,6.5,1,0,1,1,0,0,0,0,1,0,3,5,4,3,2,1,0,0,1,0,0,7,9,3
7.01366E+18,934861,714759,23,6,23,100000,0,0,99,3,6,5,2,4,4,79,6,3,6,1,1,1,1,7,5,5,5,2.146120916,1,5,6,0,0,1,0.5,1.033333333,3.115384615,4.5,1,0,1,1,0,0,0,1,0,0,2,5,5,4,2,0,0,0,1,0,0,10,6,3
2.30643E+18,572449,165598,23,4,34,100000,1675,1000,5,18,4,4,1,3,4,74,6,3,6,1,1,1,1,7,5,4,5,3,1,5,4,0,0,0,1,1.733333333,2.384615385,3.5,1,0,1,1,0,0,0,0,1,0,3,0,5,3,2,0,0,0,0,0,0,9,10,3
4.44535E+18,695068,318649,23,5,17,81642,995,796,60,45.36209494,5,5,2,3,2,61,6,2,4,1,1,1,1,7,5,4,5,3,1,5,7,0,0,0,0,1.433333333,2.153846154,4,1,0,1,1,0,0,0,1,0,0,2,3,0,3,2,0,0,0,0,0,0,6,6.372005492,3
4.57589E+18,734657,345120,23,3,19,90626,390,312,8,4,2,5,3,3,3,66,6,4,6,1,1,1,1,7,6,2,4,2,0,6,7,0,0,0,0.5,1.466666667,2.153846154,4.5,1,0,0,1,0,0,0,1,0,0,4,3,5,3,2,1,0,0,1,0,0,10,9,3
6.048E+18,857937,263705,23,4,1,40626,414,300,16,18,4,4,3,2,1,54,3,1,7,1,1,1,1,7,6,5,5,2,1,5,5,0,0,0,1,1.5,2.846153846,5.5,1,0,1,1,0,0,0,0,1,0,3,3,4,3,3,1,0,0,0,0,0,5,3,3
4.41914E+18,406442,196550,23,8,5,39694,400,290,12,4,5,4,2,2,4,62,6,3,7,1,1,1,1,7,5,6,7,2,0,5,4,0,0,0,0.5,0.033333333,1.153846154,5.5,1,0,0,1,0,0,0,0,1,0,3,5,5,3,2,0,0,0,1,0,0,10,7,3
2.33757E+17,482409,68410,23,1,5,19605,448,417,16,9,4,6,6,4,3,53,3,1,5,1,1,1,1,7,7,7,7,3,1,2,4,0,0,0,0.5,2.133333333,4.307692308,4,1,0,1,1,0,0,0,0,1,0,3,5,5,3,2,1,0,0,0,0,0,8,9,3
2.79132E+18,527969,194412,23,1,14,100000,314,236,3,2,2,5,4,4,4,73,6,1,7,1,1,1,1,7,7,6,7,2,3,4,7,0,1,1,0,1.533333333,2.076923077,4,1,0,1,1,0,0,0,0,1,0,3,0,5,3,1,1,1,0,0,0,0,10,6,3
5.61956E+18,616879,225243,23,3,17,66994,307,276,4,3,7,5,2,2,3,68,6,1,7,1,1,1,1,7,6,5,5,3,1,3,6,0,0,1,0,1.1,1.615384615,5.5,1,0,1,1,0,0,0,1,0,0,3,5,5,3,2,1,0,0,0,0,1,10,7,3
4.80037E+17,446504,94168,23,1,12,54893,520,0,3,3,6,4,3,3,2,67,4,3,4,1,1,1,1,7,5,6,3,2,1,5,7,0,0,0,0.5,1.6,3.576923077,5.5,1,0,1,1,0,0,0,1,0,0,3,5,5,3,2,0,0,0,0,0,0,10,8,3
7.54464E+18,574743,398597,23,4,39,99707,1241,841,3,6,4,4,3,2,3,67,6,1,6,1,1,1,1,7,6,5,1,2,2,1,6,0,0,1,4.5,3,3.423076923,4.5,1,0,1,1,0,0,0,0,1,0,3,5,5,3,2,1,0,0,0,0,0,10,10,3
7.80613E+18,878087,466012,23,6,13,86044,1387,971,2,2,6,5,1,3,2,74,6,1,7,1,1,1,1,7,5,2,3,2,1,3,7,1,0,0,0.5,0.666666667,2.384615385,3.5,1,0,1,1,0,0,0,0,1,0,4,0,5,3,2,0,1,0,1,0,0,10,6,3
5.5732E+18,1743498,1210655,23,4,33,100000,1600,1200,4,15,2,4,3,3,1,55,7,1,7,1,1,1,1,7,7,6,6,3,1,3,6,0,0,1,0.5,2.9,2.615384615,3.5,1,0,1,1,0,0,0,0,1,0,2,3,5,3,3,1,0,0,1,0,0,8,9,3
5.20061E+18,489363,82068,23,2,22,98499,1565,400,4,45.36209494,7,4,3,4,2,53,6,1,6,1,1,1,1,7,5,4,6,2,2,4,7,0,0,1,0,1,2.307692308,3.5,1,0,1,1,0,0,0,1,0,0,4,5,5,3,2,0,1,0,0,0,1,6,6.372005492,3
8.92465E+18,597097,263977,23,1,5,25703,0,0,16,13,2,7,4,6,2,32,5,3,6,1,1,1,1,1,6,3,5,3,1,5,7,0,1,0,0,0,0,4,1,0,1,1,0,0,0,1,0,0,2,1,4,5,2,1,0,0,0,0,0,7,7,3
5.14725E+18,612104,412449,23,8,4,25144,0,0,72,71,4,5,4,3,2,40,1,7,4,1,1,1,1,7,4,1,6,2,1,6,6,0,0,1,0.5,0.033333333,3.384615385,5.5,1,0,1,1,0,0,0,1,0,0,4,3,2,3,3,0,0,0,0,0,0,6,7,3
2.88596E+18,1028480,440062,23,6,27,92353,1670,972,3,3,3,3,3,6,2,64,7,2,7,1,1,1,1,7,7,4,7,2,1,5,7,0,0,1,0.5,0.033333333,2.076923077,4,1,0,1,1,0,0,0,1,0,0,3,5,5,3,2,1,0,0,0,0,0,10,7,3
5.16546E+18,774510,238937,23,4,19,100000,1067,524,2,2,7,5,3,5,2,64,6,1,6,1,1,1,1,7,5,6,4,1,1,4,5,0,0,0,0.5,1.633333333,1.615384615,3.5,1,0,1,1,0,0,0,1,0,0,3,5,5,3,2,1,0,0,0,0,1,10,8,3
4.29925E+18,516965,196556,23,7,27,55943,650,520,9,12,3,5,4,5,6,65,6,1,7,1,1,1,1,7,5,6,6,2.146120916,0,6,5,0,0,0,0.5,1.733333333,2.846153846,5,1,0,0,1,0,0,0,0,1,0,3,1,5,3,1,2,0,0,0,0,0,9,3,3
7.63271E+18,717970,307391,23,5,33,79918,675,417,3,3,5,5,2,2,2,78,2,2,7,1,1,1,1,7,5,4,6,2,2,5,5,0,1,1,0.5,1.566666667,2.076923077,3.5,1,0,1,1,0,0,0,0,1,0,3,5,5,3,1,1,0,0,1,0,0,10,6,3
2.94599E+18,535784,121526,23,3,8,29703,815,652,6,5,3,3,4,4,4,65,7,1,4,1,1,1,1,7,7,7,7,3,1,2,6,0,0,0,0.5,1.466666667,2.846153846,5,1,0,1,1,0,0,0,0,1,0,3,1,5,3,2,1,0,0,0,0,0,7,3,3
7.21843E+18,1838293,1330449,23,6,20,69610,1436,1080,65.65276963,3,6,4,2,2,4,65,7,2,7,1,1,1,1,7,7,7,5,2,0,5,6,0,0,0,0.5,1.466666667,2.153846154,4.5,1,0,0,1,0,0,0,0,1,0,3,0,0,3,2,1,0,0,0,0,0,10,7,3
6.61628E+18,454796,125247,23,8,16,43004,320,256,13,2,4,6,3,5,4,65,6,2,7,1,1,1,1,7,5,7,6,2.146120916,1,5,7,0,0,0,0.5,1.466666667,2.153846154,3.5,1,0,1,1,0,0,0,1,0,0,3,2,5,3,2,1,0,0,1,0,0,10,6,3
6.78261E+17,917180,407699,23,6,34,100000,2312,1412,4,3,6,4,2,2,1,55,6,1,7,1,1,1,1,7,6,4,7,2,1,2,5,0,0,0,1,1.7,2.884615385,6,1,0,1,1,0,0,0,0,1,0,3,2,5,3,2,0,1,0,0,0,0,10,6,3
4.16245E+17,865844,360283,23,2,8,92034,799,639,3,3,4,5,2,2,2,58,6,3,7,1,1,1,1,7,6,4,5,3,1,4,7,0,0,0,0.5,1.466666667,2.153846154,4.5,1,0,1,1,0,0,0,0,1,0,3,4,5,3,2,1,0,1,0,0,0,10,6,3
2.10376E+18,456768,203504,23,7,19,75351,280,0,99,8,7,5,3,6,2,66,6,3,7,1,1,1,1,7,6,2,7,2,2,6,5,0,0,1,1,1.6,2.076923077,6,1,0,1,1,1,0,0,1,0,0,2,5,5,3,2,1,0,0,0,0,1,9,3,3
5.70433E+18,631658,329005,23,4,1,28427,0,0,65.65276963,45.36209494,3,6,3,3,1,50,5,1,4,1,1,1,1,7,7,6,3,2,1,5,4,0,0,0,0,0,0.576923077,5,1,0,1,1,0,0,0,0,1,0,4,0,0,3,2,0,0,0,0,0,0,6,6.372005492,3
7.94071E+17,1055268,558172,23,6,13,62686,989,250,14,2,2,5,2,1,4,49,4,4,6,1,1,1,1,7,4,2,6,2,1,3,6,0,0,1,0.5,2.4,1.384615385,5,1,0,1,1,0,0,0,0,1,0,3,3,5,3,2,0,0,0,0,0,0,10,6,3
2.13434E+18,461203,183524,23,6,6,31095,319,255,11,4,7,5,2,3,1,64,4,3,6,1,1,1,1,7,5,6,7,2,1,6,7,0,0,0,0.5,1.633333333,3.346153846,5,1,0,1,1,0,0,0,0,1,0,3,5,5,3,2,1,0,0,0,0,1,10,8,3
6.67962E+18,404817,149650,23,8,6,27857,292,233,65.65276963,67,6,4,4,3,4,57,4,2,4,1,1,1,1,7,5,7,7,1,1,1,7,0,0,1,0.5,1.5,2.153846154,5.5,1,0,1,1,0,0,0,1,0,0,3,0,0,3,2,1,0,0,0,0,0,5,4,3
7.44394E+18,520514,205374,23,7,12,74345,1719,1547,14,19,5,5,2,2,4,74,6,2,6,1,1,1,1,7,5,7,3,2,1,4,6,0,1,0,0.5,0.033333333,2.269230769,5,1,0,1,1,0,0,0,0,1,0,3,4,5,3,2,0,0,0,1,0,0,9,9,3
1.59325E+18,495444,117711,23,4,6,65032,340,272,2,2,5,5,2,3,5,79,6,3,6,1,1,1,1,7,5,5,6,2,2,4,5,0,0,1,1,0.066666667,0,5.5,1,0,1,1,0,0,0,0,1,0,3,4,5,3,2,0,0,0,1,0,0,10,7,3
6.00948E+18,554695,110280,23,1,6,19442,875,700,80,34,2,6,3,6,1,39,1,6,5,1,1,1,1,7,4,5,2,2,3,4,5,0,1,1,0.5,1.266666667,2.923076923,6,1,0,1,1,0,0,0,0,1,0,3,0,3,3,3,0,0,0,0,1,0,3,3,3
1.85899E+18,705163,78259,23,5,2,61897,638,510,9,4,4,4,4,3,2,54,7,1,7,1,1,1,1,7,7,4,2,2,2,3,7,0,1,1,0.5,1.466666667,2.153846154,4.5,1,1,1,1,0,0,0,1,0,0,3,0,5,3,2,1,0,0,1,0,0,10,6,3
4.06846E+18,419432,93997,23,5,12,93358,521,417,10,1,4,5,2,2,2,68,6,1,6,1,1,1,1,7,5,6,4,2,2,3,7,0,0,1,0.5,1.466666667,2.153846154,4.5,1,0,1,1,0,0,0,0,1,0,3,5,5,3,2,1,0,0,1,0,0,10,9,3
2.2855E+18,801622,461948,23,7,26,84404,750,600,48,21,6,5,1,3,2,67,4,3,7,1,1,1,1,7,5,3,7,2,0,6,5,0,0,0,4,1.7,2.884615385,6.5,1,0,0,1,0,0,0,1,0,0,3,4,1,3,1,0,0,1,0,0,0,9,8,3
6.03921E+18,574425,327920,23,7,4,31344,255,159,12,3,2,5,2,2,2,61,6,5,4,1,1,1,1,7,5,6,6,2,1,4,7,0,0,0,0.5,1.633333333,3.692307692,7,1,0,1,1,0,0,0,1,0,0,4,2,4,3,3,0,0,0,0,0,0,10,6,3
4.60425E+18,612817,246009,23,6,11,61912,440,352,60,12,7,5,4,4,2,64,5,3,6,1,1,1,1,7,6,2,6,3,1,5,7,0,0,1,0.5,2.7,2.5,5,1,0,1,1,1,0,0,1,0,0,3,5,5,3,2,0,0,0,0,0,1,8,4,3
7.58549E+17,952533,385741,23,4,31,100000,1800,1170,3,3,6,4,3,2,4,63,6,2,4,1,1,1,1,7,5,4,6,3,1,3,7,0,0,0,1,1.766666667,2.846153846,4.5,1,0,1,1,0,0,0,1,0,0,4,5,5,3,1,1,0,0,0,0,0,10,7,3
1.67729E+17,522581,196479,23,7,11,79994,429,300,35,26,4,4,2,2,2,62,7,1,6,1,1,1,1,7,7,4,6,2,0,3,6,0,0,1,1.5,1.166666667,2.076923077,6.5,1,0,0,1,0,0,0,0,1,0,2,3,5,3,2,1,0,0,1,0,0,6,4,3
1.79528E+18,636029,156489,23,2,17,64071,1300,1040,6,10,7,4,2,2,4,64,1,3,4,1,7,1,1,1,4,5,4,2,1,1,7,0,0,1,2,1.566666667,2.230769231,5,1,0,1,1,0,0,0,0,1,0,3,4,5,3,2,1,0,0,0,0,1,8,3,3
6.92988E+18,1535833,1290809,23,7,9,34740,499,333,12,3,6,5,2,1,3,67,7,4,7,1,1,1,1,7,5,7,7,2,0,5,6,0,0,0,3.5,1.833333333,3.692307692,5,1,0,0,1,0,0,0,1,0,0,2,4,4,3,2,1,0,0,0,0,1,10,6,3
3.98704E+18,623172,163055,23,5,9,62113,365,275,3,3,6,4,2,3,2,67,6,2,6,1,1,1,1,7,7,3,7,3,1,2,7,0,0,0,0.5,1.466666667,2.153846154,4.5,1,0,1,1,0,0,0,0,1,0,3,5,5,3,2,1,2,0,1,0,0,10,7,3
2.72412E+18,479340,169302,23,5,12,67718,314,236,3,15,6,4,2,2,4,68,7,1,6,1,1,1,1,7,7,7,7,2,0,4,6,0,0,0,0.5,1.566666667,2.076923077,6.5,1,0,0,1,0,0,0,1,0,0,2,5,5,3,2,1,0,0,1,0,0,8,7,3
6.20073E+18,453295,83480,23,3,6,29407,550,440,10,4,5,5,6,5,5,46,6,1,6,1,1,1,1,7,7,7,7,2,1,1,7,0,0,1,0.5,4.866666667,4.038461538,4,1,0,1,1,0,0,0,1,0,0,3,5,5,3,2,1,0,0,0,0,0,7,3,3
1.1986E+18,418206,198210,23,4,6,19575,265,212,3,3,6,5,3,3,2,60,4,2,4,1,1,1,1,7,5,7,5,2,1,4,6,0,0,0,0.5,1.566666667,3,4.5,1,0,1,1,0,0,0,0,1,0,3,5,5,3,2,0,0,0,1,0,0,10,7,3
2.91148E+18,803164,241474,23,3,26,64450,970,506,3,3,5,4,3,4,4,53,4,2,4,1,1,1,1,7,5,4,6,2,1,3,7,0,0,1,1.5,1.533333333,2.153846154,4.5,1,0,1,1,0,0,0,1,0,0,3,4,5,3,2,1,0,0,0,0,1,10,7,3
2.05106E+18,643558,218996,23,1,31,100000,1598,800,11,3,6,5,3,3,4,75,5,3,4,1,1,1,1,7,5,4,7,2,1,5,7,0,0,0,1.5,1.8,2.846153846,3.5,1,0,1,1,1,1,1,1,0,0,2,5,5,3,2,1,0,0,0,0,0,10,7,3
5.64629E+18,469239,67206,23,6,10,23032,361,288,92,4,5,7,3,2,4,53,5,2,7,1,1,1,1,7,5,7,2,2,2,1,6,0,1,1,0.5,1.5,2.153846154,5.5,1,0,1,1,0,0,0,0,1,0,2,0,3,3,2,0,0,0,0,0,1,7,3,3
6.22603E+18,421607,77828,23,3,12,68409,570,400,7,13,3,3,3,3,4,66,7,1,7,1,1,1,1,7,7,6,6,2,1,3,7,0,0,0,0.5,1.466666667,2.846153846,5,1,0,1,1,1,0,0,0,1,0,3,3,5,3,3,1,2,0,1,0,0,10,10,3
2.60957E+16,498550,172118,23,4,8,16935,599,417,60,14,4,6,2,2,1,67,2,1,7,1,1,1,1,7,5,6,6,3,0,5,6,0,1,0,0.5,3.4,4.038461538,5,1,0,0,1,0,0,0,0,1,0,2,0,5,3,3,0,0,0,1,0,0,8,7,3
7.93218E+18,438607,137865,23,4,10,22298,475,423,65.65276963,20,3,5,3,6,4,41,4,3,4,1,1,1,1,7,5,6,7,2.146120916,0,5,6,0,0,0,1,1.8,3.076923077,5,1,0,0,1,0,0,0,1,0,0,3,0,0,3,2,0,0,0,0,1,0,7,7,3
4.31318E+18,597172,133982,23,2,9,58725,475,380,18,10,7,6,1,4,3,49,2,4,4,1,1,1,1,7,5,4,6,2,2,5,7,0,0,1,0.5,1.466666667,2.153846154,4,1,0,1,1,0,0,0,0,1,0,3,1,5,3,2,0,0,0,0,0,1,7,6,3
6.91997E+17,1240160,505265,23,1,35,100000,0,0,99,3,7,4,3,2,2,47,6,2,6,1,1,1,1,1,5,5,4,2,1,5,7,0,0,0,1.5,1.733333333,2.884615385,4,1,0,1,1,0,0,0,1,0,0,3,5,5,5,2,0,0,0,0,0,1,10,6,3
